directory,action,left,right
./data/breakages/sorald_445,UPDATED,260,359
./data/breakages/nopol_1347,UPDATED,161,161
./data/breakages/google_auto_693,UPDATED,1649,1667
./data/breakages/juliac_789,UPDATED,19094,18005
./data/breakages/jperturb_1634,UPDATED,129,129
./data/breakages/googleguice_2121,MOVED_UNCHANGED,4240,715
./data/breakages/mimecraft_2316,UPDATED,167,150
./data/breakages/dspot_842,MOVED_UNCHANGED,11711,11529
./data/breakages/spoonsnapshotdeployer_4314,UPDATED,7924,519
./data/breakages/jodatime_1837,UPDATED,1594,1593
./data/breakages/googleguice_2121,MOVED_UPDATED,562,562
./data/breakages/guava_1947,UPDATED,1921,1918
./data/breakages/jimfs_1890,UPDATED,408,409
./data/breakages/pushcommentgithub_173,MOVED_UNCHANGED,19,17
./data/breakages/disklrucache_2210,UPDATED,419,420
./data/breakages/sorald_445,UPDATED,196,295
./data/breakages/jodatime_1837,UPDATED,1332,1331
./data/breakages/jodatime_1837,UPDATED,1526,1525
./data/breakages/jimfs_1890,UPDATED,546,547
./data/breakages/commonslang_2089,MOVED_UPDATED,798,798
./data/breakages/sorald_445,UPDATED,133,164
./data/breakages/nopol_1347,UPDATED,60,60
./data/breakages/cv_45,UPDATED,218,223
./data/breakages/metamutator_1765,UPDATED,130,130
./data/breakages/cv_45,UPDATED,515,520
./data/breakages/sorald_265,UPDATED,693,806
./data/breakages/cidiff_57,UPDATED,363,384
./data/breakages/sorald_265,UPDATED,154,153
./data/breakages/googleguice_2121,UPDATED,2422,2422
./data/breakages/nopol_1347,UPDATED,557,556
./data/breakages/disklrucache_2210,MOVED_UPDATED,1518,96
./data/breakages/metamutator_1765,UPDATED,143,143
./data/breakages/sorald_445,UPDATED,26,26
./data/breakages/jodatime_2082,UPDATED,342,342
./data/breakages/astor_1260,UPDATED,2067,368
./data/breakages/cidiff_57,UPDATED,190,190
./data/breakages/assertj_1944,UPDATED,5845,5845
./data/breakages/cidiff_75,UPDATED,15,15
./data/breakages/jodatime_1837,UPDATED,886,886
./data/breakages/sorald_265,UPDATED,729,843
./data/breakages/juliac_789,UPDATED,4822,5513
./data/breakages/commonscodec_2463,UPDATED,20,17
./data/breakages/googleguice_2121,UPDATED,1038,848
./data/breakages/sorald_265,UPDATED,191,190
./data/breakages/commonslang_2089,UPDATED,2980,451
./data/breakages/disklrucache_2210,UPDATED,1021,1022
./data/breakages/jodatime_1837,UPDATED,1386,1385
./data/breakages/google_auto_693,UPDATED,467,467
./data/breakages/metamutator_1765,UPDATED,113,113
./data/breakages/jperturb_1634,UPDATED,33,33
./data/breakages/gumtreespoonastdiff_2017,UPDATED,254,254
./data/breakages/jperturb_1634,UPDATED,144,144
./data/breakages/npefix_1847,UPDATED,26,26
./data/breakages/commonscodec_2463,MOVED_UPDATED,2013,155
./data/breakages/astor_400,UPDATED,512,512
./data/breakages/jodatime_1837,UPDATED,597,597
./data/breakages/nopol_1347,UPDATED,25,25
./data/breakages/cidiff_75,MOVED_UNCHANGED,543,538
./data/breakages/jodatime_1837,UPDATED,610,610
./data/breakages/jodatime_2082,UPDATED,996,996
./data/breakages/astor_400,UPDATED,1354,704
./data/breakages/sorald_265,UPDATED,685,798
./data/breakages/dspot_842,MOVED_UNCHANGED,11693,11511
./data/breakages/jperturb_1634,UPDATED,26,26
./data/breakages/astor_400,UPDATED,582,583
./data/breakages/cidiff_75,UPDATED,500,500
./data/breakages/sorald_445,UPDATED,32,32
./data/breakages/nopol_1347,UPDATED,237,237
